id,type,description,active
0,UNK,Unknown,TRUE
1,GROUP,Group,TRUE
2,ROAD,Main Road,TRUE
4,NCRN,NCRN Road,TRUE
3,COUNCIL,Council,TRUE
5,LINK,Link,TRUE
6,NODE,Node,TRUE
7,SUBLINK,Sub-Link,TRUE
8,SUBNODE,Sub-Node,TRUE
9,OUTDOOR,Outdoor Area,TRUE
3060,SBT,Start / End Terminal,TRUE
3061,SET,Start / End Terminal,TRUE
11,AQD,CO/NO/Vis Instrument,TRUE
20,WTPD,Dosing plant,TRUE
30,WTPI,Instrumentation,TRUE
40,VACT,Ventilation Actuator,TRUE
50,WTP,Water Treatment Plant,TRUE
60,BSHL,Bus shelter,TRUE
70,BSTS,Bench seat,TRUE
80,BKST,Bike storage,TRUE
90,BKHO,Bike hoop,TRUE
100,BRAS,Abutment Structure,TRUE
110,AWS,Advanced Warning Signs,TRUE
120,AIDSC,AID VIDS / TIDS Camera,TRUE
130,ACU,Air Conditioning Unit,TRUE
140,ACC,Air Cooled Condenser,TRUE
150,FSAB,Alarm Bell and Beacon,TRUE
160,FNI,Alarm Signalling Equipment,TRUE
170,AMP,Amplifier,TRUE
180,ANT,Antenna,TRUE
190,AQMPS,AQM Power Supply,TRUE
200,LTAR,Architectural & feature Lighting,TRUE
210,ALUV,Architectural Louvers,TRUE
220,ASE,ASE Device,TRUE
230,ASD,Aspirating smoke detection System (VESDA),TRUE
240,ATM,Audio Tactile Marking,TRUE
250,VID,Automatic Vehicle Incident Detection System,TRUE
260,AXF,Axial Fans (AXF),TRUE
270,BDS,Backlit Directional Signs,TRUE
280,BRBE,Bearings,TRUE
290,BDA,Bi-directional amplifier,TRUE
300,BIN,Bins,TRUE
310,TFBW,Block Wall Structures,TRUE
320,BTS,Bluetooth Station,TRUE
330,BB,Boom Barrier ,TRUE
340,TSBT,Bored Tunnel Structure,TRUE
350,BGU,Break Glass Unit,TRUE
360,BRBD,Bridge Deck,TRUE
370,BUAR,Building Architecture,TRUE
380,SBES,Building Electrical Services,TRUE
