ID,SPACE_LOCATION
5000,SL_20
5010,SL_20_10
5020,SL_20_10_47
5030,SL_20_10_49
5040,SL_20_15
5050,SL_20_15_15
5060,SL_20_15_27
5070,SL_20_15_50
5080,SL_20_15_59
5090,SL_20_15_61
5100,SL_20_15_71
5110,SL_20_15_73
5120,SL_20_45
5130,SL_20_45_27
5140,SL_20_45_29
5150,SL_20_45_30
5160,SL_20_45_31
5170,SL_20_45_53
5180,SL_20_45_95
5190,SL_20_45_96
5200,SL_20_50
5210,SL_20_50_03
5220,SL_20_50_05
5230,SL_20_50_10
5240,SL_20_50_12
5250,SL_20_50_22
5260,SL_20_50_29
5270,SL_20_50_30
5280,SL_20_50_32
5290,SL_20_50_36
5300,SL_20_50_37
5310,SL_20_50_47
5320,SL_20_50_51
5330,SL_20_50_55
5340,SL_20_50_70
5350,SL_20_50_72
5360,SL_20_50_85
5370,SL_20_50_86
5380,SL_20_50_87
5390,SL_20_50_96
5400,SL_20_55
5410,SL_20_55_45
5420,SL_20_55_50
5430,SL_20_55_60
5440,SL_20_55_65
5450,SL_20_60
5460,SL_20_60_08
5470,SL_20_60_27
5480,SL_20_60_70
5490,SL_20_60_98
5500,SL_20_62
5510,SL_20_62_65
5520,SL_20_65
5530,SL_20_65_15
5540,SL_20_65_28
5550,SL_20_65_39
5560,SL_20_65_40
5570,SL_20_65_41
5580,SL_20_65_42
5590,SL_20_65_65
5600,SL_20_70
5610,SL_20_70_15
5620,SL_20_70_18
5630,SL_20_70_23
5640,SL_20_70_28
5650,SL_20_70_41
5660,SL_20_70_44
5670,SL_20_70_97
5680,SL_20_75
5690,SL_20_75_13
5700,SL_20_75_15
5710,SL_20_75_22
5720,SL_20_75_28
5730,SL_20_75_35
5740,SL_20_75_38
5750,SL_20_75_75
5760,SL_20_75_77
5770,SL_20_75_95
5780,SL_20_80
5790,SL_20_80_03
5800,SL_20_80_30
5810,SL_20_80_63
5820,SL_20_80_72
5830,SL_20_85
5840,SL_20_85_63
5850,SL_20_85_75
5860,SL_20_85_80
5870,SL_20_85_95
5880,SL_20_90
5890,SL_20_90_25
5900,SL_20_90_28
5910,SL_20_90_30
5920,SL_20_90_31
5930,SL_20_90_60
5940,SL_20_95
5950,SL_20_95_20
5960,SL_20_95_28
5970,SL_20_95_30
5980,SL_20_95_32
5990,SL_20_95_80
6000,SL_25
6010,SL_25_05
6020,SL_25_05_72
6030,SL_25_10
6040,SL_25_10_01
6050,SL_25_10_04
6060,SL_25_10_05
6070,SL_25_10_08
6080,SL_25_10_13
6090,SL_25_10_14
6100,SL_25_10_15
6110,SL_25_10_17
6120,SL_25_10_21
6130,SL_25_10_22
6140,SL_25_10_24
6150,SL_25_10_25
6160,SL_25_10_26
6170,SL_25_10_28
6180,SL_25_10_30
6190,SL_25_10_39
6200,SL_25_10_40
6210,SL_25_10_41
6220,SL_25_10_44
6230,SL_25_10_46
6240,SL_25_10_47
6250,SL_25_10_53
6260,SL_25_10_54
6270,SL_25_10_55
6280,SL_25_10_57
6290,SL_25_10_58
6300,SL_25_10_60
6310,SL_25_10_61
6320,SL_25_10_66
6330,SL_25_10_67
6340,SL_25_10_68
6350,SL_25_10_72
6360,SL_25_10_74
6370,SL_25_10_75
6380,SL_25_10_76
6390,SL_25_10_77
6400,SL_25_10_78
6410,SL_25_10_79
6420,SL_25_10_81
6430,SL_25_10_84
6440,SL_25_20
6450,SL_25_20_04
6460,SL_25_20_18
6470,SL_25_20_23
6480,SL_25_30
6490,SL_25_30_02
6500,SL_25_30_04
6510,SL_25_30_05
6520,SL_25_30_07
6530,SL_25_30_10
6540,SL_25_30_13
6550,SL_25_30_14
6560,SL_25_30_15
6570,SL_25_30_16
6580,SL_25_30_17
6590,SL_25_30_19
6600,SL_25_30_21
6610,SL_25_30_22
6620,SL_25_30_23
6630,SL_25_30_26
6640,SL_25_30_27
6650,SL_25_30_28
6660,SL_25_30_29
6670,SL_25_30_30
6680,SL_25_30_31
6690,SL_25_30_32
6700,SL_25_30_33
6710,SL_25_30_42
6720,SL_25_30_46
6730,SL_25_30_47
6740,SL_25_30_50
6750,SL_25_30_66
6760,SL_25_30_68
6770,SL_25_30_70
6780,SL_25_30_76
6790,SL_25_30_78
6800,SL_25_30_88
6810,SL_25_40
6820,SL_25_40_03
6830,SL_25_40_11
6840,SL_25_40_15
6850,SL_25_40_22
6860,SL_25_40_23
6870,SL_25_40_27
6880,SL_25_40_36
6890,SL_25_40_38
6900,SL_25_40_40
6910,SL_25_40_42
6920,SL_25_40_50
6930,SL_25_40_51
6940,SL_25_40_61
6950,SL_25_40_65
6960,SL_25_40_90
6970,SL_25_40_94
6980,SL_25_50
6990,SL_25_50_15
7000,SL_25_50_16
7010,SL_25_50_21
7020,SL_25_50_26
7030,SL_25_50_29
7040,SL_25_50_31
7050,SL_25_50_42
7060,SL_25_50_63
7070,SL_25_50_94
7080,SL_25_70
7090,SL_25_70_02
7100,SL_25_70_04
7110,SL_25_70_05
7120,SL_25_70_13
7130,SL_25_70_47
7140,SL_25_70_72
7150,SL_25_70_73
7160,SL_25_75
7170,SL_25_75_04
7180,SL_25_75_37
