ID,CODE,GROUP_CODE,SUB_GROUP_CODE,SECTION_CODE,OBJECT_CODE,TITLE,ACTIVE
10,EF_15,15,,,,Earthworks and remediation ,TRUE
20,EF_15_10,15,10,,,Groundworks and earthworks,TRUE
30,EF_15_30,15,30,,,"Remediation, repair and renovation",TRUE
40,EF_20,20,,,,Structural elements,TRUE
50,EF_20_05,20,05,,,Substructure,TRUE
60,EF_20_05_30,20,05,30,,Foundations,TRUE
70,EF_20_10,20,10,,,Superstructure,TRUE
80,EF_20_10_15,20,10,15,,Composite structures,TRUE
90,EF_20_10_30,20,10,30,,Framed structures,TRUE
100,EF_20_10_50,20,10,50,,Membrane structures,TRUE
110,EF_20_10_75,20,10,75,,Shell structures,TRUE
120,EF_20_10_80,20,10,80,,Solid structures,TRUE
130,EF_20_50,20,50,,,Bridge structures,TRUE
140,EF_20_50_01,20,50,01,,Abutments,TRUE
150,EF_20_50_07,20,50,07,,Bearings,TRUE
160,EF_20_50_10,20,50,10,,Bridge decks,TRUE
170,EF_20_50_64,20,50,64,,Piers,TRUE
180,EF_20_50_82,20,50,82,,Span,TRUE
190,EF_25,25,,,,Wall and barrier elements,TRUE
200,EF_25_10,25,10,,,Walls,TRUE
210,EF_25_30,25,30,,,Doors and windows,TRUE
220,EF_25_55,25,55,,,Barriers,TRUE
230,EF_30,30,,,,"Roofs, floor and paving elements",TRUE
240,EF_30_10,30,10,,,Roofs,TRUE
250,EF_30_20,30,20,,,Floors,TRUE
260,EF_30_25,30,25,,,Ceilings and soffits,TRUE
270,EF_30_30,30,30,,,Decks,TRUE
280,EF_30_60,30,60,,,Pavements,TRUE
290,EF_30_60_60,30,60,60,,Pedestrian paving,TRUE
300,EF_30_60_95,30,60,95,,Vehicular paving,TRUE
310,EF_35,35,,,,Stairs and ramps,TRUE
320,EF_35_10,35,10,,,Stairs,TRUE
330,EF_35_10_30,35,10,30,,External stairs,TRUE
340,EF_35_10_40,35,10,40,,Internal stairs,TRUE
350,EF_35_20,35,20,,,Ramps,TRUE
360,EF_35_20_30,35,20,30,,External ramps,TRUE
370,EF_35_20_40,35,20,40,,Internal ramps,TRUE
380,EF_37,37,,,,"Tunnel, vessel and tower elements",TRUE
390,EF_37_16,37,16,,,Vessels and trenches,TRUE
400,EF_37_16_90,37,16,90,,Trenches,TRUE
410,EF_37_16_94,37,16,94,,Vessels,TRUE
420,EF_37_17,37,17,,,"Towers, chimneys and masts",TRUE
430,EF_37_17_15,37,17,15,,Chimneys,TRUE
440,EF_37_17_35,37,17,35,,Gantries,TRUE
450,EF_37_17_50,37,17,50,,Masts,TRUE
460,EF_37_17_70,37,17,70,,Pylons,TRUE
470,EF_37_17_90,37,17,90,,Towers,TRUE
480,EF_37_50,37,50,,,Tunnels and shafts,TRUE
490,EF_40,40,,,,"Signage, fittings, furnishings and equipment",TRUE
500,EF_40_10,40,10,,,Signage,TRUE
510,EF_40_20,40,20,,,Fittings,TRUE
520,EF_40_30,40,30,,,Furnishings,TRUE
530,EF_40_40,40,40,,,Equipment,TRUE
540,EF_45,45,,,,Flora and fauna elements,TRUE
550,EF_45_03,45,03,,,Aquatic fauna elements,TRUE
560,EF_45_05,45,05,,,Aquatic flora elements,TRUE
570,EF_45_20,45,20,,,Grass and meadow elements,TRUE
580,EF_45_45,45,45,,,Land fauna elements,TRUE
590,EF_45_90,45,90,,,"Tree, shrub and herbaceous plant elements",TRUE
600,EF_50,50,,,,Waste disposal functions,TRUE
610,EF_50_10,50,10,,,Gas waste collection,TRUE
620,EF_50_20,50,20,,,Wet waste collection,TRUE
630,EF_50_30,50,30,,,Above-ground drainage collection,TRUE
640,EF_50_35,50,35,,,Below-ground drainage collection,TRUE
650,EF_50_40,50,40,,,Dry waste collection,TRUE
660,EF_50_50,50,50,,,Gas waste treatment and disposal,TRUE
670,EF_50_60,50,60,,,Wet waste treatment and disposal,TRUE
680,EF_50_70,50,70,,,Drainage treatment and disposal,TRUE
690,EF_50_75,50,75,,,Wastewater treatment and disposal,TRUE
700,EF_50_80,50,80,,,Dry waste treatment and disposal,TRUE
710,EF_55,55,,,,Piped supply functions,TRUE
720,EF_55_05,55,05,,,Gas extraction and treatment,TRUE
730,EF_55_10,55,10,,,Liquid fuel extraction and treatment,TRUE
740,EF_55_15,55,15,,,Water extraction and treatment,TRUE
750,EF_55_20,55,20,,,Gas supply,TRUE
760,EF_55_30,55,30,,,Fire-extinguishing supply,TRUE
770,EF_55_40,55,40,,,Steam supply,TRUE
780,EF_55_50,55,50,,,Liquid fuel distribution supply,TRUE
790,EF_55_60,55,60,,,Process liquid supply,TRUE
800,EF_55_70,55,70,,,Water supply,TRUE
810,EF_55_90,55,90,,,Piped solids supply,TRUE
820,EF_60,60,,,,"Heating, cooling and refrigeration functions",TRUE
830,EF_60_30,60,30,,,Rail and paving heating,TRUE
840,EF_60_40,60,40,,,Space heating and cooling,TRUE
850,EF_60_60,60,60,,,Refrigeration,TRUE
860,EF_60_80,60,80,,,Drying,TRUE
870,EF_65,65,,,,Ventilation and air conditioning functions,TRUE
880,EF_65_40,65,40,,,Ventilation,TRUE
890,EF_65_80,65,80,,,Air conditioning,TRUE
900,EF_70,70,,,,Electrical power and lighting functions,TRUE
910,EF_70_10,70,10,,,Electrical power generation,TRUE
920,EF_70_30,70,30,,,Electricity distribution and transmission,TRUE
930,EF_70_80,70,80,,,Lighting,TRUE
940,EF_75,75,,,,"Communications, security, safety and protection functions",TRUE
950,EF_75_10,75,10,,,Communication,TRUE
960,EF_75_30,75,30,,,Signalling,TRUE
970,EF_75_40,75,40,,,Security,TRUE
980,EF_75_50,75,50,,,Safety and protection,TRUE
990,EF_75_60,75,60,,,Environmental safety,TRUE
1000,EF_75_70,75,70,,,Control and management,TRUE
1010,EF_75_80,75,80,,,Protection,TRUE
1020,EF_80,80,,,,Transport functions,TRUE
1030,EF_80_10,80,10,,,Cable transport,TRUE
1040,EF_80_20,80,20,,,Conveyors,TRUE
1050,EF_80_30,80,30,,,Cranes and hoists,TRUE
1060,EF_80_50,80,50,,,Lifts,TRUE
1070,EF_80_70,80,70,,,Rail tracks,TRUE
