ID,CODE,GROUP_CODE,SUB_GROUP_CODE,SECTION_CODE,OBJECT_CODE,TITLE,ACTIVE
10,En_20,20,,,,"Administrative, commercial and protective service entities",TRUE
20,En_20_10,20,10,,,Legislative entities,TRUE
30,En_20_10_45,20,10,45,,Governmental buildings,TRUE
40,En_20_15,20,15,,,Administrative office entities,TRUE
50,En_20_15_10,20,15,10,,Multiple occupation office buildings,TRUE
60,En_20_15_70,20,15,70,,Single occupation office buildings,TRUE
70,En_20_20,20,20,,,Secular representative entities,TRUE
80,En_20_20_10,20,20,10,,Buildings for representatives of nation states abroad,TRUE
90,En_20_20_40,20,20,40,,Local government buildings,TRUE
100,En_20_20_50,20,20,50,,National government buildings,TRUE
110,En_20_20_70,20,20,70,,Regional government buildings,TRUE
120,En_20_45,20,45,,,Motor vehicle maintenance and fuelling entities,TRUE
130,En_20_45_50,20,45,50,,Motor vehicle fuelling and charging entities,TRUE
140,En_20_45_54,20,45,54,,Motor vehicle servicing and repair entities,TRUE
150,En_20_50,20,50,,,Commercial entities,TRUE
160,En_20_50_05,20,50,05,,Auction buildings,TRUE
170,En_20_50_22,20,50,22,,Department stores,TRUE
180,En_20_50_29,20,50,29,,Financial and professional services buildings,TRUE
190,En_20_50_50,20,50,50,,Markets,TRUE
200,En_20_50_53,20,50,53,,Mixed use buildings,TRUE
210,En_20_50_55,20,50,55,,Motor vehicle sales entities,TRUE
220,En_20_50_80,20,50,80,,Shop units,TRUE
230,En_20_50_85,20,50,85,,Supermarkets,TRUE
240,En_20_50_97,20,50,97,,Wholesale buildings,TRUE
250,En_20_55,20,55,,,Postal communications entities,TRUE
260,En_20_55_65,20,55,65,,Post office buildings,TRUE
270,En_20_55_80,20,55,80,,Sorting office buildings,TRUE
280,En_20_60,20,60,,,Military entities,TRUE
290,En_20_60_02,20,60,02,,Air force buildings,TRUE
300,En_20_60_10,20,60,10,,Army buildings,TRUE
310,En_20_60_56,20,60,56,,Navy buildings,TRUE
320,En_20_65,20,65,,,Law enforcement operational entities,TRUE
330,En_20_65_09,20,65,09,,Police buildings,TRUE
340,En_20_70,20,70,,,Judicial entities,TRUE
350,En_20_70_40,20,70,40,,Law court buildings,TRUE
360,En_20_75,20,75,,,Detention entities,TRUE
370,En_20_75_10,20,75,10,,Detention buildings,TRUE
380,En_20_80,20,80,,,Weapons training ranges,TRUE
390,En_20_80_29,20,80,29,,Firing range buildings,TRUE
400,En_20_80_30,20,80,30,,Exterior firing ranges,TRUE
410,En_20_85,20,85,,,Security entities,TRUE
420,En_20_85_15,20,85,15,,Security control buildings,TRUE
430,En_20_85_30,20,85,30,,Security fences,TRUE
440,En_20_90,20,90,,,Incident support entities,TRUE
450,En_20_90_10,20,90,10,,Fire and rescue training buildings,TRUE
460,En_20_90_15,20,90,15,,Fire station buildings,TRUE
470,En_25,25,,,,"Cultural, educational, scientific and information entities",TRUE
480,En_25_05,25,05,,,Commemoration entities,TRUE
490,En_25_05_35,25,05,35,,Gardens of remembrance,TRUE
500,En_25_05_50,25,05,50,,Memorials,TRUE
510,En_25_05_55,25,05,55,,Monuments,TRUE
520,En_25_10,25,10,,,Educational entities,TRUE
530,En_25_10_10,25,10,10,,Preschool educational buildings,TRUE
540,En_25_10_20,25,10,20,,Infant educational buildings,TRUE
550,En_25_10_30,25,10,30,,Primary educational buildings,TRUE
560,En_25_10_40,25,10,40,,Secondary educational buildings,TRUE
570,En_25_10_50,25,10,50,,Pre-tertiary educational buildings,TRUE
580,En_25_10_60,25,10,60,,Tertiary educational buildings,TRUE
590,En_25_10_70,25,10,70,,Adult educational buildings,TRUE
600,En_25_30,25,30,,,Scientific and laboratory entities,TRUE
610,En_25_30_40,25,30,40,,Laboratory buildings,TRUE
620,En_25_30_50,25,30,50,,Meteorological stations,TRUE
630,En_25_30_60,25,30,60,,Observatory buildings,TRUE
640,En_25_30_66,25,30,66,,Observatory antennas,TRUE
650,En_25_30_70,25,30,70,,Research buildings,TRUE
660,En_25_30_77,25,30,77,,Seed banks,TRUE
670,En_25_30_90,25,30,90,,Triangulation pillars,TRUE
680,En_25_50,25,50,,,Exhibition entities,TRUE
690,En_25_50_02,25,50,02,,Art exhibition buildings,TRUE
700,En_25_50_04,25,50,04,,Art installations,TRUE
710,En_25_50_15,25,50,15,,Collection exhibition buildings,TRUE
720,En_25_50_29,25,50,29,,Fauna exhibition buildings,TRUE
730,En_25_50_30,25,50,30,,Fauna exhibition grounds,TRUE
740,En_25_50_31,25,50,31,,Flora exhibition buildings,TRUE
750,En_25_50_32,25,50,32,,Flora exhibition grounds,TRUE
760,En_25_50_54,25,50,54,,Multipurpose exhibition buildings,TRUE
770,En_25_70,25,70,,,Information entities,TRUE
780,En_25_70_02,25,70,02,,Archive buildings,TRUE
790,En_25_70_13,25,70,13,,Conference buildings,TRUE
800,En_25_70_42,25,70,42,,Information kiosks,TRUE
810,En_25_70_47,25,70,47,,Library buildings,TRUE
820,En_25_90,25,90,,,Worship entities,TRUE
830,En_25_90_30,25,90,30,,Faith worship buildings,TRUE
840,En_30,30,,,,Industrial entities,TRUE
850,En_30_10,30,10,,,Mineral extraction entities,TRUE
860,En_30_10_57,30,10,57,,Offshore oil and gas extraction platforms,TRUE
870,En_30_10_80,30,10,80,,Spoil heaps,TRUE
880,En_30_10_85,30,10,85,,Surface mining structures,TRUE
890,En_30_10_86,30,10,86,,Surface mining cuttings,TRUE
900,En_30_10_90,30,10,90,,Underground mining structures,TRUE
910,En_30_20,30,20,,,Nuclear and chemical management entities,TRUE
920,En_30_20_15,30,20,15,,Radioactivity waste management control buildings,TRUE
930,En_30_20_30,30,20,30,,High-heat-generating radioactive waste management tunnels,TRUE
940,En_30_20_35,30,20,35,,High-heat radioactive waste package transfer buildings,TRUE
950,En_30_20_45,30,20,45,,Low-heat radioactive waste package transfer buildings,TRUE
960,En_30_20_60,30,20,60,,Low-heat-generating radioactive waste management vault,TRUE
970,En_30_20_70,30,20,70,,Radioactivity decontamination buildings,TRUE
980,En_30_20_75,30,20,75,,Radioactivity effluent management buildings,TRUE
990,En_30_30,30,30,,,Mineral processing entities,TRUE
1000,En_30_30_33,30,30,33,,Gas processing structures,TRUE
1010,En_30_30_58,30,30,58,,Oil processing structures,TRUE
1020,En_30_30_59,30,30,59,,Ore processing structures,TRUE
1030,En_30_40,30,40,,,Animal and plant products processing entities,TRUE
1040,En_30_40_01,30,40,01,,Animal processing buildings,TRUE
1050,En_30_40_20,30,40,20,,Crop processing buildings,TRUE
