ID,CODE,GROUP_CODE,SUB_GROUP_CODE,SECTION_CODE,OBJECT_CODE,TITLE,ACTIVE
10,Pr_15,15,,,,Preparatory products,TRUE
20,Pr_15_31,15,31,,,Formless preparatory products,TRUE
30,Pr_15_31_04,15,31,04,,Applied cleaning and treatment products,TRUE
40,Pr_15_31_04_02,15,31,04,02,Acid neutralization products,TRUE
50,Pr_15_31_04_06,15,31,04,06,Biocidal cleaning solutions,TRUE
60,Pr_15_31_04_10,15,31,04,10,Chemical absorbent products,TRUE
70,Pr_15_31_04_11,15,31,04,11,Chemical cleaning gels and liquids,TRUE
80,Pr_15_31_04_12,15,31,04,12,Chemical poultices,TRUE
90,Pr_15_31_04_13,15,31,04,13,Cleaners,TRUE
100,Pr_15_31_04_14,15,31,04,14,Cleaning agents,TRUE
110,Pr_15_31_04_15,15,31,04,15,Concrete surface retarders,TRUE
120,Pr_15_31_04_16,15,31,04,16,Concrete treatment surface and injection chemicals,TRUE
130,Pr_15_31_04_20,15,31,04,20,Curing compounds,TRUE
140,Pr_15_31_04_23,15,31,04,23,De-icing chemicals,TRUE
150,Pr_15_31_04_34,15,31,04,34,Graffiti-removing chemicals,TRUE
160,Pr_15_31_04_35,15,31,04,35,Grit,TRUE
170,Pr_15_31_04_53,15,31,04,53,Mould removers,TRUE
180,Pr_15_31_04_58,15,31,04,58,Oil-absorbent products,TRUE
190,Pr_15_31_04_60,15,31,04,60,Paint removers,TRUE
200,Pr_15_31_04_64,15,31,04,64,Plain poultices,TRUE
210,Pr_15_31_04_72,15,31,04,72,Rock salt,TRUE
220,Pr_15_31_04_77,15,31,04,77,Shampoos,TRUE
230,Pr_15_31_04_80,15,31,04,80,Snow-clearing chemicals,TRUE
240,Pr_15_31_04_81,15,31,04,81,Solvents,TRUE
250,Pr_15_31_04_84,15,31,04,84,Spot-removing chemicals,TRUE
260,Pr_15_31_04_85,15,31,04,85,Sugar soap,TRUE
270,Pr_15_31_04_86,15,31,04,86,Surface cleaners,TRUE
280,Pr_15_31_12,15,31,12,,Chemical soils stabilizers,TRUE
290,Pr_15_31_12_42,15,31,12,42,Injectable resinous soil stabilizers,TRUE
300,Pr_15_31_26,15,31,26,,Excavated earth and fill materials,TRUE
310,Pr_15_31_26_02,15,31,26,02,Asphalt arisings granular unbound mixtures,TRUE
320,Pr_15_31_26_07,15,31,26,07,Bentonite,TRUE
330,Pr_15_31_26_13,15,31,26,13,Chalk,TRUE
340,Pr_15_31_26_14,15,31,26,14,Clay,TRUE
350,Pr_15_31_26_15,15,31,26,15,Coarse no fines rubble fill materials,TRUE
360,Pr_15_31_26_17,15,31,26,17,Cohesive material,TRUE
370,Pr_15_31_26_18,15,31,26,18,Close-graded granular unbound mixtures,TRUE
380,Pr_15_31_26_26,15,31,26,26,Earth,TRUE
390,Pr_15_31_26_31,15,31,26,31,Glass bottles,TRUE
400,Pr_15_31_26_33,15,31,26,33,Graded granular fill materials,TRUE
410,Pr_15_31_26_34,15,31,26,34,Graded natural granular fill materials,TRUE
420,Pr_15_31_26_35,15,31,26,35,Graded recycled granular fill materials,TRUE
430,Pr_15_31_26_36,15,31,26,36,Hardcore,TRUE
440,Pr_15_31_26_39,15,31,26,39,Higher fines content well graded granular mixtures,TRUE
450,Pr_15_31_26_42,15,31,26,42,Hoggin,TRUE
460,Pr_15_31_26_46,15,31,26,46,Landscape area fill materials,TRUE
470,Pr_15_31_26_50,15,31,26,50,Made ground,TRUE
480,Pr_15_31_26_58,15,31,26,58,Open-graded granular unbound mixtures,TRUE
490,Pr_15_31_26_71,15,31,26,71,River deposits,TRUE
500,Pr_15_31_26_75,15,31,26,75,Sand,TRUE
510,Pr_15_31_26_90,15,31,26,90,Topsoil,TRUE
520,Pr_15_31_26_96,15,31,26,96,Well graded granular unbound mixtures,TRUE
530,Pr_15_57,15,57,,,"Non-rigid sheet, mat and strip preparatory products",TRUE
540,Pr_15_57_04,15,57,04,,Applied cleaning and repair products,TRUE
550,Pr_15_57_04_34,15,57,04,34,Graffiti-removing wipes,TRUE
560,Pr_15_57_25,15,57,25,,Geocells,TRUE
570,Pr_15_57_25_03,15,57,25,03,Acrylonitrile butadiene styrene (ABS) geocell boards,TRUE
580,Pr_15_57_25_04,15,57,25,04,Acrylonitrile butadiene styrene (ABS) geocell sheets,TRUE
590,Pr_15_57_25_32,15,57,25,32,Geocell boards,TRUE
600,Pr_15_57_25_33,15,57,25,33,Geocell sheets,TRUE
610,Pr_15_57_25_35,15,57,25,35,Heavy-duty polystyrene geocell boards,TRUE
620,Pr_15_57_25_36,15,57,25,36,Heavy-duty polystyrene geocell sheets,TRUE
630,Pr_15_57_25_39,15,57,25,39,High-density polyethylene (PE-HD) geocell boards,TRUE
640,Pr_15_57_25_40,15,57,25,40,High-density polyethylene (PE-HD) geocell sheets,TRUE
650,Pr_15_57_25_57,15,57,25,57,Needle-punched polyester linen,TRUE
660,Pr_15_57_25_70,15,57,25,70,Polyester strips,TRUE
670,Pr_15_57_25_74,15,57,25,74,Polypropylene geocell boards,TRUE
680,Pr_15_57_25_75,15,57,25,75,Polypropylene geocell sheets,TRUE
690,Pr_15_57_27,15,57,27,,Geocomposites,TRUE
700,Pr_15_57_27_33,15,57,27,33,Geocomposite sheets,TRUE
710,Pr_15_57_27_36,15,57,27,36,Geocomposite studded sheets,TRUE
720,Pr_15_57_27_38,15,57,27,38,Geomembrane geogrid composite sheets,TRUE
730,Pr_15_57_27_39,15,57,27,39,Geosynthetic clay liners (GCLs),TRUE
740,Pr_15_57_27_43,15,57,27,43,Geotextile geogrid composite sheets,TRUE
750,Pr_15_57_27_45,15,57,27,45,Geotextile geomembrane composite sheets,TRUE
760,Pr_15_57_27_47,15,57,27,47,Geotextile geonet composite sheets,TRUE
770,Pr_15_57_27_49,15,57,27,49,Geotextile plastics composite sheets,TRUE
