ID,CODE,GROUP_CODE,SUB_GROUP_CODE,SECTION_CODE,OBJECT_CODE,TITLE,ACTIVE
10,SL_20,20,,,,"Administrative, commercial and protective service spaces",TRUE
20,SL_20_10,20,10,,,Legislative spaces,TRUE
30,SL_20_10_47,20,10,47,,Legislative chambers,TRUE
40,SL_20_10_49,20,10,49,,Legislative chamber viewing galleries,TRUE
50,SL_20_15,20,15,,,Administrative spaces,TRUE
60,SL_20_15_15,20,15,15,,Confidential meetings rooms,TRUE
70,SL_20_15_27,20,15,27,,Enclosed offices,TRUE
80,SL_20_15_50,20,15,50,,Meeting rooms,TRUE
90,SL_20_15_59,20,15,59,,Offices,TRUE
100,SL_20_15_61,20,15,61,,Open-plan offices,TRUE
110,SL_20_15_71,20,15,71,,Reception areas,TRUE
120,SL_20_15_73,20,15,73,,Reprographics rooms,TRUE
130,SL_20_45,20,45,,,Motor vehicle maintenance and fuelling spaces,TRUE
140,SL_20_45_27,20,45,27,,Electric motor vehicle charging points,TRUE
150,SL_20_45_29,20,45,29,,Fuel filling station air and water points,TRUE
160,SL_20_45_30,20,45,30,,Fuel filling station forecourts,TRUE
170,SL_20_45_31,20,45,31,,Fuel filling station tanks areas,TRUE
180,SL_20_45_53,20,45,53,,Motor vehicle maintenance areas,TRUE
190,SL_20_45_95,20,45,95,,Vehicle inspection pits,TRUE
200,SL_20_45_96,20,45,96,,Vehicle servicing areas,TRUE
210,SL_20_50,20,50,,,Commercial spaces,TRUE
220,SL_20_50_03,20,50,03,,Ambient wholesale spaces,TRUE
230,SL_20_50_05,20,50,05,,Auction rooms,TRUE
240,SL_20_50_10,20,50,10,,Beauty salons,TRUE
250,SL_20_50_12,20,50,12,,Checkout points,TRUE
260,SL_20_50_22,20,50,22,,Department store shop floors,TRUE
270,SL_20_50_29,20,50,29,,Financial and professional services outlets,TRUE
280,SL_20_50_30,20,50,30,,Fitting rooms,TRUE
290,SL_20_50_32,20,50,32,,Food and drink outlets,TRUE
300,SL_20_50_36,20,50,36,,Hair and beauty salons,TRUE
310,SL_20_50_37,20,50,37,,Hair salons,TRUE
320,SL_20_50_47,20,50,47,,Livestock auction rooms,TRUE
330,SL_20_50_51,20,50,51,,Market stalls,TRUE
340,SL_20_50_55,20,50,55,,Motor vehicle showrooms,TRUE
350,SL_20_50_70,20,50,70,,Refrigerated wholesale spaces,TRUE
360,SL_20_50_72,20,50,72,,Retail kiosks,TRUE
370,SL_20_50_85,20,50,85,,Supermarket shop floors,TRUE
380,SL_20_50_86,20,50,86,,Tan spray booths,TRUE
390,SL_20_50_87,20,50,87,,Tattoo and piercing parlours,TRUE
400,SL_20_50_96,20,50,96,,Waste and scrap yards,TRUE
410,SL_20_55,20,55,,,Postal communications spaces,TRUE
420,SL_20_55_45,20,55,45,,Letter sorting offices,TRUE
430,SL_20_55_50,20,55,50,,Mail order sorting and despatch facilities,TRUE
440,SL_20_55_60,20,55,60,,Parcel sorting offices,TRUE
450,SL_20_55_65,20,55,65,,Post rooms,TRUE
460,SL_20_60,20,60,,,Military protective spaces,TRUE
470,SL_20_60_08,20,60,08,,Bombardment shelters,TRUE
480,SL_20_60_27,20,60,27,,Emergency shelters,TRUE
490,SL_20_60_70,20,60,70,,Radiation protection shelters,TRUE
500,SL_20_60_98,20,60,98,,War emergency centres,TRUE
510,SL_20_62,20,62,,,Parade spaces,TRUE
520,SL_20_62_65,20,62,65,,Parade grounds,TRUE
530,SL_20_65,20,65,,,Law enforcement spaces,TRUE
540,SL_20_65_15,20,65,15,,Command and control spaces,TRUE
550,SL_20_65_28,20,65,28,,Examination rooms,TRUE
560,SL_20_65_39,20,65,39,,Identification control rooms,TRUE
570,SL_20_65_40,20,65,40,,Identification suites,TRUE
580,SL_20_65_41,20,65,41,,Interview monitoring rooms,TRUE
590,SL_20_65_42,20,65,42,,Interview rooms,TRUE
600,SL_20_65_65,20,65,65,,Police boxes,TRUE
610,SL_20_70,20,70,,,Judicial spaces,TRUE
620,SL_20_70_15,20,70,15,,Courtrooms,TRUE
630,SL_20_70_18,20,70,18,,Courtroom viewing galleries,TRUE
640,SL_20_70_23,20,70,23,,Defendant docks,TRUE
650,SL_20_70_28,20,70,28,,Evidence rooms,TRUE
660,SL_20_70_41,20,70,41,,Judicial benches,TRUE
670,SL_20_70_44,20,70,44,,Jury boxes,TRUE
680,SL_20_70_97,20,70,97,,Witness stands,TRUE
690,SL_20_75,20,75,,,Detention spaces,TRUE
700,SL_20_75_13,20,75,13,,Charge areas,TRUE
710,SL_20_75_15,20,75,15,,Communal inmate dayrooms,TRUE
720,SL_20_75_22,20,75,22,,Detention cells,TRUE
730,SL_20_75_28,20,75,28,,Exercise yards,TRUE
740,SL_20_75_35,20,75,35,,Guard stations,TRUE
750,SL_20_75_38,20,75,38,,Holding cells,TRUE
760,SL_20_75_75,20,75,75,,Sally ports,TRUE
770,SL_20_75_77,20,75,77,,Secure visiting rooms,TRUE
780,SL_20_75_95,20,75,95,,Vehicle impound yards,TRUE
790,SL_20_80,20,80,,,Weapons training spaces,TRUE
800,SL_20_80_03,20,80,03,,Artillery firing ranges,TRUE
810,SL_20_80_30,20,80,30,,Firing ranges,TRUE
820,SL_20_80_63,20,80,63,,Pistol firing ranges,TRUE
830,SL_20_80_72,20,80,72,,Rifle firing ranges,TRUE
840,SL_20_85,20,85,,,Security spaces,TRUE
850,SL_20_85_63,20,85,63,,Pedestrian security checkpoints,TRUE
860,SL_20_85_75,20,85,75,,Security control spaces,TRUE
870,SL_20_85_80,20,85,80,,Security offices,TRUE
880,SL_20_85_95,20,85,95,,Vehicular security checkpoints,TRUE
890,SL_20_90,20,90,,,Fire and incident support spaces,TRUE
900,SL_20_90_25,20,90,25,,Escape stairs,TRUE
910,SL_20_90_28,20,90,28,,Firefighting stairs,TRUE
920,SL_20_90_30,20,90,30,,Fire refuge spaces,TRUE
930,SL_20_90_31,20,90,31,,Fire training spaces,TRUE
940,SL_20_90_60,20,90,60,,Protected escape corridors,TRUE
950,SL_20_95,20,95,,,Protected zones,TRUE
960,SL_20_95_20,20,95,20,,Detection zones,TRUE
970,SL_20_95_28,20,95,28,,Evacuation zones,TRUE
980,SL_20_95_30,20,95,30,,Fire compartments,TRUE
990,SL_20_95_32,20,95,32,,Fire suppression zones,TRUE
1000,SL_20_95_80,20,95,80,,Smoke control zones,TRUE
1010,SL_25,25,,,,"Cultural, educational, scientific and information spaces",TRUE
1020,SL_25_05,25,05,,,Commemoration spaces,TRUE
1030,SL_25_05_72,25,05,72,,Commemoration sites,TRUE
1040,SL_25_10,25,10,,,Educational spaces,TRUE
1050,SL_25_10_01,25,10,01,,Activity studios,TRUE
1060,SL_25_10_04,25,10,04,,Art rooms,TRUE
1070,SL_25_10_05,25,10,05,,Assembly halls,TRUE
1080,SL_25_10_08,25,10,08,,Biology teaching laboratories,TRUE
1090,SL_25_10_13,25,10,13,,Chemistry teaching laboratories,TRUE
1100,SL_25_10_14,25,10,14,,Classrooms,TRUE
1110,SL_25_10_15,25,10,15,,Common rooms,TRUE
1120,SL_25_10_17,25,10,17,,Craft classrooms,TRUE
1130,SL_25_10_21,25,10,21,,Dance studios,TRUE
