ID,CODE,GROUP_CODE,SUB_GROUP_CODE,SECTION_CODE,OBJECT_CODE,TITLE,ACTIVE
10,Ss_15,15,,,,"Earthworks, remediation and temporary systems",TRUE
20,Ss_15_10,15,10,,,Groundworks and earthworks systems,TRUE
30,Ss_15_10_30,15,10,30,,"Excavating, filling and erosion control systems",TRUE
40,Ss_15_10_30_05,15,10,30,05,Backfill systems,TRUE
50,Ss_15_10_30_25,15,10,30,25,Earthworks excavating systems,TRUE
60,Ss_15_10_30_27,15,10,30,27,Earthworks filling systems,TRUE
70,Ss_15_10_30_29,15,10,30,29,Earthworks filling systems around trees,TRUE
80,Ss_15_10_30_31,15,10,30,31,Earthworks filling systems behind retaining walls,TRUE
90,Ss_15_10_30_33,15,10,30,33,Erosion control systems,TRUE
100,Ss_15_10_30_65,15,10,30,65,Puddled clay lining systems,TRUE
110,Ss_15_10_30_90,15,10,30,90,Topsoil filling systems,TRUE
120,Ss_15_10_33,15,10,33,,Ground gas disposal systems,TRUE
130,Ss_15_10_33_34,15,10,33,34,Ground gas collection and venting systems,TRUE
140,Ss_15_10_35,15,10,35,,Ground remediation systems,TRUE
150,Ss_15_10_35_07,15,10,35,07,Bioremediation systems,TRUE
160,Ss_15_10_35_23,15,10,35,23,Deep dry soil mixing systems,TRUE
170,Ss_15_10_35_25,15,10,35,25,Dynamic deep compaction systems,TRUE
180,Ss_15_10_35_92,15,10,35,92,Vibro-compaction systems,TRUE
190,Ss_15_10_35_94,15,10,35,94,Vibro-stone column systems,TRUE
200,Ss_15_10_35_97,15,10,35,97,Wet soil mixing systems,TRUE
210,Ss_15_10_45,15,10,45,,Landfill systems,TRUE
220,Ss_15_10_76,15,10,76,,Site waste disposal systems,TRUE
230,Ss_15_10_76_21,15,10,76,21,Dewatering systems,TRUE
240,Ss_15_10_78,15,10,78,,Slurry wall systems,TRUE
250,Ss_15_10_80,15,10,80,,Stabilization systems,TRUE
260,Ss_15_10_80_15,15,10,80,15,Concrete column stabilization systems,TRUE
270,Ss_15_10_80_70,15,10,80,70,Rock bolting and dowelling systems,TRUE
280,Ss_15_10_80_75,15,10,80,75,Rock fissure grouting systems,TRUE
290,Ss_15_10_80_80,15,10,80,80,Soil nailing systems,TRUE
300,Ss_15_10_80_85,15,10,80,85,Subterranean void filling systems,TRUE
310,Ss_15_30,15,30,,,"Remediation, repair and renovation systems",TRUE
320,Ss_15_30_10,15,30,10,,Building services remediation systems,TRUE
330,Ss_15_30_12,15,30,12,,Ceramics repair and renovation systems,TRUE
340,Ss_15_30_15,15,30,15,,Concrete and masonry cleaning systems,TRUE
350,Ss_15_30_15_15,15,30,15,15,Concrete cleaning systems,TRUE
360,Ss_15_30_15_50,15,30,15,50,Masonry cleaning systems,TRUE
370,Ss_15_30_15_65,15,30,15,65,Preliminary concrete cleaning systems,TRUE
380,Ss_15_30_15_66,15,30,15,66,Preliminary masonry cleaning systems,TRUE
390,Ss_15_30_17,15,30,17,,Concrete repair and renovation systems,TRUE
400,Ss_15_30_17_10,15,30,17,10,Bonded steel plate repair systems,TRUE
410,Ss_15_30_17_12,15,30,17,12,Concrete crack repair or filling systems,TRUE
420,Ss_15_30_17_14,15,30,17,14,Concrete mortar or overlay systems,TRUE
430,Ss_15_30_17_16,15,30,17,16,Concrete protective coating systems,TRUE
440,Ss_15_30_17_18,15,30,17,18,Concrete repair systems,TRUE
450,Ss_15_30_17_85,15,30,17,85,Sprayed concrete repair systems,TRUE
460,Ss_15_30_32,15,30,32,,Fungus and beetle eradication systems,TRUE
470,Ss_15_30_32_05,15,30,32,05,Beetle eradication systems,TRUE
480,Ss_15_30_32_15,15,30,32,15,Combined fungus and beetle treatment systems,TRUE
490,Ss_15_30_32_35,15,30,32,35,Hot air infestation treatment systems,TRUE
500,Ss_15_30_32_50,15,30,32,50,Masonry fungus treatment systems,TRUE
510,Ss_15_30_32_85,15,30,32,85,Termite treatment systems,TRUE
520,Ss_15_30_32_90,15,30,32,90,Timber fungus treatment systems,TRUE
530,Ss_15_30_33,15,30,33,,Glass repair and renovation systems,TRUE
540,Ss_15_30_50,15,30,50,,Masonry repair and renovation systems,TRUE
550,Ss_15_30_50_50,15,30,50,50,Masonry repair systems,TRUE
560,Ss_15_30_50_53,15,30,50,53,Mortar joint repair systems,TRUE
570,Ss_15_30_50_55,15,30,50,55,Mortar repointing systems,TRUE
580,Ss_15_30_52,15,30,52,,Metal repair and renovation systems,TRUE
590,Ss_15_30_52_03,15,30,52,03,Aluminium repair systems,TRUE
600,Ss_15_30_52_15,15,30,52,15,Copper repair systems,TRUE
610,Ss_15_30_52_42,15,30,52,42,Iron repair systems,TRUE
620,Ss_15_30_52_46,15,30,52,46,Lead repair systems,TRUE
630,Ss_15_30_52_84,15,30,52,84,Steel repair systems,TRUE
640,Ss_15_30_65,15,30,65,,Pipeline renovation systems,TRUE
650,Ss_15_30_65_15,15,30,65,15,Close-fit plastics pipe lining systems,TRUE
660,Ss_15_30_65_17,15,30,65,17,Continuous plastics pipe lining systems,TRUE
670,Ss_15_30_65_20,15,30,65,20,Cured in place lining systems,TRUE
680,Ss_15_30_65_65,15,30,65,65,Preformed lining systems,TRUE
690,Ss_15_30_65_72,15,30,65,72,Rigidly anchored plastics inner layer (RAPL) lining systems,TRUE
700,Ss_15_30_65_80,15,30,65,80,Spray lining systems,TRUE
710,Ss_15_30_65_81,15,30,65,81,Spirally wound plastics pipe lining systems,TRUE
720,Ss_15_30_90,15,30,90,,Timber repair and renovation systems,TRUE
730,Ss_15_30_90_84,15,30,90,84,Timber joint strengthening systems,TRUE
740,Ss_15_30_90_86,15,30,90,86,Timber section repair systems,TRUE
750,Ss_15_30_90_90,15,30,90,90,Timber section strengthening systems,TRUE
760,Ss_15_95,15,95,,,Temporary works systems,TRUE
770,Ss_15_95_15,15,95,15,,Temporary preparatory works systems,TRUE
780,Ss_15_95_15_10,15,95,15,10,Borehole systems,TRUE
790,Ss_15_95_17,15,95,17,,Temporary protection systems,TRUE
800,Ss_15_95_17_90,15,95,17,90,Temporary backfill systems,TRUE
810,Ss_15_95_20,15,95,20,,Temporary whole entity structural works systems,TRUE
820,Ss_15_95_20_30,15,95,20,30,Flying shores systems,TRUE
830,Ss_15_95_20_32,15,95,20,32,Framed retention structure systems,TRUE
840,Ss_15_95_20_70,15,95,20,70,Raking shores systems,TRUE
850,Ss_15_95_20_72,15,95,20,72,Retention structure systems,TRUE
860,Ss_15_95_20_75,15,95,20,75,Scaffold retention structure systems,TRUE
870,Ss_15_95_20_87,15,95,20,87,Thrust pit systems,TRUE
880,Ss_15_95_25,15,95,25,,Temporary wall and barrier works systems,TRUE
890,Ss_15_95_30,15,95,30,,"Temporary roof, floor and paving works systems",TRUE
900,Ss_15_95_32,15,95,32,,Temporary water and land management systems,TRUE
910,Ss_15_95_32_85,15,95,32,85,Sedimentation ponds,TRUE
920,Ss_15_95_35,15,95,35,,"Temporary fixed access, tunnel, shaft, vessel and tower works systems",TRUE
930,Ss_15_95_40,15,95,40,,"Temporary signage and fittings, furnishings and equipment (FF&E) works systems",TRUE
940,Ss_15_95_45,15,95,45,,Temporary flora and fauna systems,TRUE
950,Ss_15_95_45_42,15,95,45,42,Intercropping systems,TRUE
960,Ss_15_95_45_85,15,95,45,85,Spoil heap temporary crop systems,TRUE
970,Ss_15_95_45_90,15,95,45,90,Topsoil heap temporary crop systems,TRUE
980,Ss_15_95_55,15,95,55,,Temporary piped supply works systems,TRUE
990,Ss_15_95_55_90,15,95,55,90,Tunnelling compressed air systems,TRUE
1000,Ss_15_95_60,15,95,60,,"Temporary heating, cooling and refrigeration works systems",TRUE
1010,Ss_15_95_65,15,95,65,,Temporary ventilation and air conditioning works systems,TRUE
1020,Ss_15_95_70,15,95,70,,Temporary electrical works systems,TRUE
1030,Ss_15_95_75,15,95,75,,"Temporary communications, security, safety, control and protection works systems",TRUE
1040,Ss_15_95_80,15,95,80,,Temporary pavement works systems,TRUE
1050,Ss_15_95_80_02,15,95,80,02,Temporary access road systems,TRUE
1060,Ss_15_95_80_72,15,95,80,72,Temporary roadwork systems,TRUE
1070,Ss_15_95_85,15,95,85,,Temporary process engineering works systems,TRUE
1080,Ss_15_95_90,15,95,90,,Temporary soft facility management works services,TRUE
1090,Ss_20,20,,,,Structural systems,TRUE
1100,Ss_20_05,20,05,,,Substructure systems,TRUE
1110,Ss_20_05_15,20,05,15,,Concrete foundation systems,TRUE
1120,Ss_20_05_15_65,20,05,15,65,Precast concrete pad and strip foundation systems,TRUE
1130,Ss_20_05_15_70,20,05,15,70,Reinforced concrete pad and strip foundation systems,TRUE
1140,Ss_20_05_15_71,20,05,15,71,Reinforced concrete pilecap and ground beam foundation systems,TRUE
1150,Ss_20_05_15_72,20,05,15,72,Reinforced concrete raft foundation systems,TRUE
1160,Ss_20_05_15_80,20,05,15,80,Steel ground beam foundation systems,TRUE
1170,Ss_20_05_15_90,20,05,15,90,Unreinforced concrete foundation systems for cast-in products,TRUE
1180,Ss_20_05_15_91,20,05,15,91,Unreinforced concrete pad and strip foundation systems,TRUE
1190,Ss_20_05_15_92,20,05,15,92,Unreinforced concrete trench fill foundation systems,TRUE
1200,Ss_20_05_50,20,05,50,,Minor concrete substructure systems,TRUE
1210,Ss_20_05_50_15,20,05,50,15,Concrete haunching systems,TRUE
1220,Ss_20_05_50_65,20,05,50,65,Precast concrete foundation and plinth systems,TRUE
1230,Ss_20_05_50_70,20,05,50,70,Reinforced concrete base or foundation systems,TRUE
